Number of plugins,Installations
36.64%,1096
36.70%,1094
36.77%,1092
36.83%,1091
36.89%,1091
36.96%,1082
37.02%,1069
37.08%,1054
37.14%,1049
37.21%,1042
37.27%,1036
37.33%,1036
37.40%,1036
37.46%,1033
37.52%,1020
37.59%,1020
37.65%,1019
37.71%,1014
37.78%,1012
37.84%,1007
37.90%,1007
37.97%,1006
38.03%,1006
38.09%,1003
38.16%,998
38.22%,995
38.28%,995
38.34%,992
38.41%,988
38.47%,986
38.53%,985
38.60%,985
38.66%,983
38.72%,976
38.79%,967
38.85%,967
38.91%,966
38.98%,963
39.04%,963
39.10%,961
39.17%,957
39.23%,953
39.29%,952
39.36%,950
39.42%,945
39.48%,942
39.55%,941
39.61%,941
39.67%,940
39.73%,939
39.80%,938
39.86%,935
39.92%,934
39.99%,931
40.05%,927
40.11%,909
40.18%,904
40.24%,893
40.30%,887
40.37%,886
40.43%,881
40.49%,878
40.56%,877
40.62%,873
40.68%,869
40.75%,866
40.81%,861
40.87%,855
40.93%,848
41.00%,842
41.06%,839
41.12%,838
41.19%,837
41.25%,831
41.31%,828
41.38%,826
41.44%,824
41.50%,822
41.57%,813
41.63%,812
41.69%,809
41.76%,808
41.82%,808
41.88%,805
41.95%,804
42.01%,802
42.07%,799
42.14%,797
42.20%,792
42.26%,791
42.32%,789
42.39%,787
42.45%,785
42.51%,783
42.58%,774
42.64%,774
42.70%,764
42.77%,764
42.83%,763
42.89%,761
42.96%,761
43.02%,760
43.08%,758
43.15%,758
43.21%,757
43.27%,752
43.34%,751
43.40%,749
43.46%,746
43.52%,744
43.59%,740
43.65%,733
43.71%,730
43.78%,728
43.84%,724
43.90%,723
43.97%,716
44.03%,714
44.09%,714
44.16%,713
44.22%,709
44.28%,707
44.35%,705
44.41%,701
44.47%,700
44.54%,698
44.60%,698
44.66%,697
44.73%,697
44.79%,685
44.85%,678
44.91%,676
44.98%,676
45.04%,660
45.10%,659
45.17%,657
45.23%,653
45.29%,648
45.36%,647
45.42%,646
45.48%,637
45.55%,630
45.61%,630
45.67%,627
45.74%,626
45.80%,626
45.86%,622
45.93%,620
45.99%,619
46.05%,617
46.11%,615
46.18%,613
46.24%,612
46.30%,611
46.37%,608
46.43%,608
46.49%,607
46.56%,607
46.62%,607
46.68%,605
46.75%,604
46.81%,604
46.87%,604
46.94%,600
47.00%,597
47.06%,595
47.13%,593
47.19%,589
47.25%,588
47.32%,583
47.38%,582
47.44%,582
47.50%,582
47.57%,581
47.63%,576
47.69%,560
47.76%,559
47.82%,558
47.88%,558
47.95%,557
48.01%,552
48.07%,547
48.14%,546
48.20%,546
48.26%,546
48.33%,544
48.39%,542
48.45%,542
48.52%,540
48.58%,540
48.64%,537
48.70%,534
48.77%,534
48.83%,534
48.89%,532
48.96%,530
49.02%,530
49.08%,529
49.15%,526
49.21%,517
49.27%,516
49.34%,516
49.40%,515
49.46%,514
49.53%,514
49.59%,513
49.65%,511
49.72%,509
49.78%,508
49.84%,508
49.91%,507
49.97%,494
50.03%,492
50.09%,492
50.16%,491
50.22%,490
50.28%,486
50.35%,486
50.41%,485
50.47%,484
50.54%,484
50.60%,480
50.66%,475
50.73%,472
50.79%,469
50.85%,469
50.92%,467
50.98%,467
51.04%,467
51.11%,467
51.17%,465
51.23%,463
51.30%,461
51.36%,460
51.42%,459
51.48%,458
51.55%,458
51.61%,457
51.67%,456
51.74%,452
51.80%,448
51.86%,447
51.93%,446
51.99%,445
52.05%,443
52.12%,442
52.18%,442
52.24%,439
52.31%,439
52.37%,437
52.43%,437
52.50%,435
52.56%,435
52.62%,432
52.68%,431
52.75%,430
52.81%,430
52.87%,429
52.94%,422
53.00%,421
53.06%,420
53.13%,418
53.19%,417
53.25%,416
53.32%,414
53.38%,412
53.44%,411
53.51%,407
53.57%,404
53.63%,403
53.70%,401
53.76%,400
53.82%,400
53.89%,400
53.95%,398
54.01%,396
54.07%,395
54.14%,393
54.20%,393
54.26%,388
54.33%,385
54.39%,384
54.45%,381
54.52%,377
54.58%,377
54.64%,376
54.71%,376
54.77%,374
54.83%,374
54.90%,374
54.96%,373
55.02%,372
55.09%,372
55.15%,370
55.21%,370
55.27%,367
55.34%,363
55.40%,361
55.46%,358
55.53%,357
55.59%,357
55.65%,354
55.72%,354
55.78%,353
55.84%,350
55.91%,349
55.97%,349
56.03%,347
56.10%,343
56.16%,342
56.22%,341
56.29%,338
56.35%,338
56.41%,337
56.48%,335
56.54%,334
56.60%,334
56.66%,333
56.73%,332
56.79%,332
56.85%,331
56.92%,330
56.98%,324
57.04%,324
57.11%,323
57.17%,317
57.23%,317
57.30%,316
57.36%,315
57.42%,314
57.49%,313
57.55%,310
57.61%,309
57.68%,308
57.74%,305
57.80%,305
57.86%,305
57.93%,303
57.99%,303
58.05%,300
58.12%,297
58.18%,296
58.24%,294
58.31%,291
58.37%,290
58.43%,289
58.50%,289
58.56%,287
58.62%,286
58.69%,285
58.75%,284
58.81%,282
58.88%,280
58.94%,279
59.00%,277
59.07%,276
59.13%,276
59.19%,276
59.25%,276
59.32%,271
59.38%,270
59.44%,269
59.51%,268
59.57%,267
59.63%,267
59.70%,266
59.76%,264
59.82%,264
59.89%,264
59.95%,264
60.01%,262
60.08%,262
60.14%,261
60.20%,261
60.27%,260
60.33%,260
60.39%,258
60.45%,256
60.52%,255
60.58%,254
60.64%,253
60.71%,253
60.77%,251
60.83%,251
60.90%,250
60.96%,248
61.02%,247
61.09%,247
61.15%,246
61.21%,246
61.28%,246
61.34%,245
61.40%,241
61.47%,240
61.53%,239
61.59%,238
61.66%,238
61.72%,236
61.78%,234
61.84%,233
61.91%,233
61.97%,232
62.03%,230
62.10%,229
62.16%,227
62.22%,226
62.29%,225
62.35%,225
62.41%,225
62.48%,224
62.54%,224
62.60%,223
62.67%,223
62.73%,223
62.79%,221
62.86%,220
62.92%,220
62.98%,219
63.04%,217
63.11%,217
63.17%,217
63.23%,217
63.30%,217
63.36%,216
63.42%,214
63.49%,213
63.55%,212
63.61%,212
63.68%,211
63.74%,210
63.80%,209
63.87%,208
63.93%,208
63.99%,207
64.06%,205
64.12%,205
64.18%,204
64.25%,204
64.31%,203
64.37%,201
64.43%,201
64.50%,197
64.56%,197
64.62%,194
64.69%,192
64.75%,191
64.81%,190
64.88%,189
64.94%,188
65.00%,188
65.07%,187
65.13%,186
65.19%,186
65.26%,186
65.32%,185
65.38%,185
65.45%,185
65.51%,185
65.57%,184
65.63%,183
65.70%,183
65.76%,182
65.82%,182
65.89%,181
65.95%,181
66.01%,181
66.08%,180
66.14%,180
66.20%,178
66.27%,177
66.33%,177
66.39%,176
66.46%,175
66.52%,174
66.58%,173
66.65%,172
66.71%,171
66.77%,170
66.84%,170
66.90%,168
66.96%,167
67.02%,167
67.09%,164
67.15%,163
67.21%,163
67.28%,163
67.34%,163
67.40%,162
67.47%,161
67.53%,158
67.59%,158
67.66%,157
67.72%,156
67.78%,155
67.85%,155
67.91%,155
67.97%,154
68.04%,153
68.10%,153
68.16%,151
68.22%,151
68.29%,149
68.35%,149
68.41%,147
68.48%,147
68.54%,144
68.60%,144
68.67%,143
68.73%,143
68.79%,143
68.86%,142
68.92%,142
68.98%,142
69.05%,141
69.11%,141
69.17%,140
69.24%,139
69.30%,139
69.36%,139
69.43%,139
69.49%,138
69.55%,137
69.61%,137
69.68%,136
69.74%,136
69.80%,136
69.87%,135
69.93%,135
69.99%,134
70.06%,134
70.12%,134
70.18%,134
70.25%,133
70.31%,133
70.37%,131
70.44%,131
70.50%,129
70.56%,129
70.63%,128
70.69%,128
70.75%,128
70.81%,127
70.88%,127
70.94%,126
71.00%,125
71.07%,124
71.13%,122
71.19%,122
71.26%,122
71.32%,120
71.38%,120
71.45%,119
71.51%,119
71.57%,119
71.64%,119
71.70%,118
71.76%,118
71.83%,118
71.89%,118
71.95%,118
72.02%,116
72.08%,116
72.14%,115
72.20%,115
72.27%,113
72.33%,112
72.39%,112
72.46%,112
72.52%,111
72.58%,110
